policy,split,task_id,sample_id,valid,task_score,cost_price,exec_time,qop,reward,plan,error,raw_response
qwen_baseline,test,20,3,True,0.5414637327194214,0.058586477446088664,904.1342250108719,0.2190626043208147,0.15102520513557915,"[""image_super_resolution"", [""input_of_query""], ""image_captioning"", [""image_super_resolution""]]",,"{""plan"":[{""tool"":""image_super_resolution"",""dependencies"":[""input_of_query""]},{""tool"":""image_captioning"",""dependencies"":[""image_super_resolution""]}]}"""
qwen_baseline,test,20,12,True,0.590399980545044,0.05337189008755481,803.2847590446472,0.24812963727199125,0.18818556932427982,"[""image_super_resolution"", [""input_of_query""], ""image_captioning"", [""image_super_resolution""]]",,"{""plan"":[{""tool"":""image_super_resolution"",""dependencies"":[""input_of_query""]},{""tool"":""image_captioning"",""dependencies"":[""image_super_resolution""]}]}"""
qwen_baseline,test,20,15,True,0.57622230052948,0.03268641163452028,402.65436497330666,0.25928397304778994,0.2315025079501492,"[""image_super_resolution"", [""input_of_query""], ""image_captioning"", [""image_super_resolution""]]",,"{""plan"":[{""tool"":""image_super_resolution"",""dependencies"":[""input_of_query""]},{""tool"":""image_captioning"",""dependencies"":[""image_super_resolution""]}]}"""
qwen_baseline,test,20,27,True,0.6062340140342712,0.0482740009279047,704.4390120208263,0.2605426432331881,0.20853610535110062,"[""image_super_resolution"", [""input_of_query""], ""image_captioning"", [""image_super_resolution""]]",,"{""plan"":[{""tool"":""image_super_resolution"",""dependencies"":[""input_of_query""]},{""tool"":""image_captioning"",""dependencies"":[""image_super_resolution""]}]}"""
qwen_baseline,test,21,3,True,0.41486334800720215,0.04252176746568006,803.6507469713688,0.1699303863120349,0.10580571557362417,"[""image_super_resolution"", [""input_of_query""], ""object_detection"", [""image_super_resolution""]]",,"{""plan"":[{""tool"":""image_super_resolution"",""dependencies"":[""input_of_query""]},{""tool"":""object_detection"",""dependencies"":[""output_of_super_resolution""]}]}"
qwen_baseline,test,21,12,True,0.7642796635627747,0.042543201672566255,803.9932630062103,0.3446196405868205,0.2804689046444832,"[""image_super_resolution"", [""input_of_query""], ""object_detection"", [""image_super_resolution""]]",,"{""plan"":[{""tool"":""image_super_resolution"",""dependencies"":[""input_of_query""]},{""tool"":""object_detection"",""dependencies"":[""output_of_super_resolution""]}]}"
qwen_baseline,test,21,15,True,0.583493709564209,0.021964365174909826,404.91752004623413,0.27237578846761684,0.24027292019002616,"[""image_super_resolution"", [""input_of_query""], ""object_detection"", [""image_super_resolution""]]",,"{""plan"":[{""tool"":""image_super_resolution"",""dependencies"":[""input_of_query""]},{""tool"":""object_detection"",""dependencies"":[""output_of_super_resolution""]}]}"
qwen_baseline,test,21,27,True,0.7601457834243774,0.03735045546204092,703.4640470147133,0.3471323471587775,0.2910512592796969,"[""image_super_resolution"", [""input_of_query""], ""object_detection"", [""image_super_resolution""]]",,"{""plan"":[{""tool"":""image_super_resolution"",""dependencies"":[""input_of_query""]},{""tool"":""object_detection"",""dependencies"":[""output_of_super_resolution""]}]}"
qwen_baseline,test,31,3,True,0.5414637327194214,0.05337388938732786,803.3826610147953,0.22365975011366035,0.16370665556456723,"[""image_super_resolution"", [""input_of_query""], ""image_captioning"", [""image_super_resolution""]]",,"{""plan"":[{""tool"":""image_super_resolution"",""dependencies"":[""input_of_query""]},{""tool"":""image_captioning"",""dependencies"":[""image_super_resolution""]}]}"""
qwen_baseline,test,31,12,True,0.590399980545044,0.0533640552723977,803.5413700342178,0.2481365470425565,0.1881638256329013,"[""image_super_resolution"", [""input_of_query""], ""image_captioning"", [""image_super_resolution""]]",,"{""plan"":[{""tool"":""image_super_resolution"",""dependencies"":[""input_of_query""]},{""tool"":""image_captioning"",""dependencies"":[""image_super_resolution""]}]}"""
